G-number,G-number Full,Value
0360.00,036000,UND
0361.00,036100,UND
0361.01,036101,UND
0362.00,036200,UND
0363.00,036300,zuk
0363.00,036300,zu
0364.00,036400,UND
0365.00,036500,k'inic
0366.00,036600,z'a
0367.00,036700,wak
0368.00,036800,UND
0369.00,036900,UND
0370.00,037000,zu
0501.00,050100,ba
0501.00,050100,imix
0502.00,050200,ma
0503.00,050300,nal
0503.00,050300,ik
0504.00,050400,ak'
0505.00,050500,UND
0506.00,050600,ol
0506.00,050600,wah
0506.00,050600,kan
0507.00,050700,zi
0507.01,050701,zi
0508.00,050800,xa
0508.00,050800,cikcan
0509.00,050900,way
0509.00,050900,kimi
0510.00,051000,UND
0510.01,051001,ek'
0510.02,051002,UND
0510.03,051003,UND
0511.00,051100,pet
0512.00,051200,ye
0512.01,051201,UND
0513.00,051300,u
0514.00,051400,e_teh
0514.00,051400,teh
0515.00,051500,cu
0515.00,051500,co
0515.01,051501,te
0516.00,051600,ahk'ot
0516.01,051601,ahk'ot
0516.02,051602,UND
0517.00,051700,UND
0518.00,051800,ah
0518.01,051801,ah
0518.02,051802,ki
0519.00,051900,UND
0520.00,052000,ca
0520.00,052000,cwen
0521.00,052100,winik
0522.00,052200,nab
0523.00,052300,winik
0524.00,052400,ix
0524.00,052400,ik
0525.00,052500,UND
0525.00,052500,kib
0526.00,052600,kab
0526.00,052600,ka
0526.00,052600,kaban
0527.00,052700,UND
0527.00,052700,ez'nab
0528.00,052800,tun
0528.00,052800,ku
0528.00,052800,0
0529.00,052900,wiz
0530.00,053000,cu
0531.00,053100,wiz
0532.00,053200,cuk
0533.00,053300,nik
0534.00,053400,lah
0534.00,053400,la
0535.00,053500,nik
0536.00,053600,xo
0537.00,053700,na
0538.00,053800,UND
0539.00,053900,way
0540.00,054000,UND
0541.00,054100,UND
0542.00,054200,e
0542.01,054201,na
0543.00,054300,UND
0544.00,054400,k'in
0545.00,054500,yihk'in
0546.00,054600,lak'in
0547.00,054700,UND
0548.00,054800,hab
0548.00,054800,ab
0549.00,054900,UND
0549.00,054900,pax
0550.00,055000,UND
0551.00,055100,k'anhalab
0551.00,055100,pop
0552.00,055200,kat
0552.00,055200,tan
0552.00,055200,ta
0553.00,055300,ta
0553.01,055301,tan
0553.01,055301,ta
0554.00,055400,UND
0555.00,055500,UND
0556.00,055600,UND
0557.00,055700,ma
0558.00,055800,UND
0559.00,055900,zu
0559.00,055900,kankin
0560.00,056000,UND
0561.00,056100,can
0561.00,056100,ka'an
0561.01,056101,can
0561.01,056101,ka'an
0561.02,056102,can
0561.02,056102,ka'an
0561.03,056103,can
0561.03,056103,ka'an
0561.04,056104,can
0561.04,056104,ka'an
0561.05,056105,can
0561.05,056105,ka'an
0561.06,056106,can
0561.06,056106,ka'an
0562.00,056200,UND
0563.00,056300,z'i
0563.01,056301,to
0564.00,056400,UND
0565.00,056500,ta
0565.01,056501,ta
0565.02,056502,ta
0566.00,056600,man
0566.00,056600,cikcan
0567.00,056700,UND
0567.00,056700,ok
0568.00,056800,lu
0568.01,056801,lu
0568.02,056802,lu
0569.00,056900,mut
0570.00,057000,bak
0571.00,057100,kun
0572.00,057200,UND
0573.00,057300,z'ak
0573.01,057301,z'ak
0574.00,057400,he
0574.00,057400,e
0575.00,057500,yi
0576.00,057600,UND
0577.00,057700,UND
0578.00,057800,UND
0579.00,057900,UND
0580.00,058000,lo
0581.00,058100,mol
0581.00,058100,mol
0582.00,058200,mo
0582.00,058200,mol
0583.00,058300,hanab
0583.00,058300,pakal
0584.00,058400,ah
0584.00,058400,ben
0585.00,058500,bi
0585.01,058501,bi
0585.02,058502,bi
0586.00,058600,pa
0586.01,058601,pa
0587.00,058700,he
0587.00,058700,e
0588.00,058800,UND
0588.01,058801,UND
0589.00,058900,ho
0590.00,059000,co
0590.01,059001,co
0591.00,059100,way
0592.00,059200,nu
0593.00,059300,nu
0594.00,059400,UND
0594.01,059401,UND
0595.00,059500,UND
0596.00,059600,UND
0597.00,059700,lut
0597.01,059701,lut
0598.00,059800,kun
0599.00,059900,kun
0600.00,060000,c'ok
0600.01,060001,c'ok
0601.00,060100,cu
0602.00,060200,pa
0603.00,060300,c'a
0604.00,060400,k'u
0605.00,060500,UND
0606.00,060600,tan
0606.01,060601,tan
0607.00,060700,ho
0607.01,060701,ho
0608.00,060800,z'u
0609.00,060900,UND
0609.01,060901,c'a
0610.00,061000,UND
0611.00,061100,UND
0612.00,061200,le
0613.00,061300,le
0614.00,061400,UND
0614.01,061401,UND
0615.00,061500,UND
0616.00,061600,zuk
0616.00,061600,zu
0616.00,061600,ah
0616.01,061601,zuk
0616.01,061601,zu
0616.01,061601,ah
0617.00,061700,zuk
0617.00,061700,zu
0617.00,061700,ah
0617.01,061701,zuk
0617.01,061701,zu
0617.01,061701,ah
0618.00,061800,kun
0619.00,061900,tan
0619.00,061900,ta
0620.00,062000,UND
0621.00,062100,UND
0622.00,062200,po
0622.01,062201,po
0623.00,062300,UND
0624.00,062400,hanab
0624.00,062400,pakal
0624.01,062401,hanab
0624.01,062401,pakal
0624.02,062402,hanab
0624.02,062402,pakal
0625.00,062500,UND
0626.00,062600,ak
0626.01,062601,ak
0627.00,062700,UND
0627.01,062701,UND
0628.00,062800,UND
0628.01,062801,UND
0629.00,062900,UND
0630.00,063000,sa
0631.00,063100,UND
0632.00,063200,muyal
0633.00,063300,UND
0634.00,063400,c'a
0635.00,063500,UND
0636.00,063600,UND
0637.00,063700,UND
0638.00,063800,UND
0638.01,063801,UND
0639.00,063900,e
0640.00,064000,UND
0641.00,064100,UND
0642.00,064200,UND
0643.00,064300,ak
0644.00,064400,cum
0644.01,064401,cum
0645.00,064500,UND
0646.00,064600,UND
0647.00,064700,UND
0648.00,064800,mu
0649.00,064900,UND
0650.00,065000,UND
0651.00,065100,UND
0652.00,065200,UND
0653.00,065300,hul
0654.00,065400,UND
0655.00,065500,UND
0656.00,065600,UND
0657.00,065700,UND
0657.01,065701,UND
0658.00,065800,UND
0659.00,065900,UND
0660.00,066000,UND
0661.00,066100,UND
0662.00,066200,UND
0663.00,066300,kun
0664.00,066400,hal
0665.00,066500,hun
0666.00,066600,UND
0667.00,066700,yah
0668.00,066800,ca
0669.00,066900,k'a
0669.01,066901,k'a
0670.00,067000,zak
0670.00,067000,c'am
0670.00,067000,lah
0671.00,067100,ci
0671.00,067100,manik
0672.00,067200,ho
0673.00,067300,yo
0673.01,067301,yo
0674.00,067400,UND
0675.00,067500,UND
0676.00,067600,hal
0676.00,067600,hel
0677.00,067700,zuk
0677.00,067700,zu
0677.00,067700,ah
0677.00,067700,a
0678.00,067800,UND
0679.00,067900,i
0679.01,067901,i
0679.02,067902,i
0679.03,067903,UND
0680.00,068000,UND
0681.00,068100,UND
0682.00,068200,ha
0682.01,068201,ha
0683.00,068300,ha
0683.01,068301,ha
0683.02,068302,ha
0684.00,068400,hok'
0684.01,068401,hok'
0685.00,068500,nah
0686.00,068600,UND
0686.01,068601,UND
0686.02,068602,UND
0687.00,068700,po
0687.01,068701,po
0688.00,068800,UND
0689.00,068900,pa
0690.00,069000,UND
0691.00,069100,kun
0692.00,069200,pu
0693.00,069300,UND
0694.00,069400,UND
0695.00,069500,UND
0696.00,069600,UND
0697.00,069700,UND
0698.00,069800,UND
0698.01,069801,UND
0699.00,069900,za
0700.00,070000,UND
0701.00,070100,UND
0702.00,070200,UND
0703.00,070300,wa
0704.00,070400,ci
0705.00,070500,UND
0706.00,070600,UND
0707.00,070700,UND
0708.00,070800,UND
0709.00,070900,UND
0710.00,071000,ye
0711.00,071100,UND
0712.00,071200,c'ab
0713.00,071300,UND
0713.01,071301,hul
0714.00,071400,zak
0715.00,071500,pa
0716.00,071600,UND
0716.01,071601,UND
0717.00,071700,UND
0718.00,071800,UND
0719.00,071900,UND
0720.00,072000,UND
0721.00,072100,UND
0721.01,072101,UND
0722.00,072200,UND
0723.00,072300,UND
0724.00,072400,UND
0725.00,072500,UND
0726.00,072600,UND
0726.00,072600,cikcan
0727.00,072700,UND
0727.01,072701,UND
0728.00,072800,way
0729.00,072900,UND
0730.00,073000,UND
0731.00,073100,UND
0732.00,073200,UND
0733.00,073300,UND
0734.00,073400,UND
0735.00,073500,UND
0736.00,073600,UND
0736.01,073601,UND
0736.02,073602,UND
0737.00,073700,UND
0738.00,073800,ka
0738.01,073801,ka
0738.02,073802,ka
0739.00,073900,UND
0739.01,073901,UND
0740.00,074000,hu
0741.00,074100,UND
0741.01,074101,u
0741.02,074102,e
0742.00,074200,UND
0743.00,074300,a
0744.00,074400,k'uk'_mo
0744.01,074401,k'uk'_mo
0745.00,074500,a
0746.00,074600,katun
0747.00,074700,ahaw
0747.01,074701,ahaw
0747.01,074701,ta
0747.01,074701,ti
0748.00,074800,UND
0749.00,074900,UND
0750.00,075000,UND
0750.01,075001,UND
0751.00,075100,balam
0751.01,075101,balam
0752.00,075200,UND
0753.00,075300,UND
0754.00,075400,citam
0754.00,075400,ak
0755.00,075500,UND
0756.00,075600,xu
0756.01,075601,xu
0756.02,075602,xul
0756.03,075603,UND
0757.00,075700,bah
0758.00,075800,c'ok
0758.01,075801,hi
0758.02,075802,hi
0759.00,075900,t'ul
0759.01,075901,t'ul
0760.00,076000,UND
0761.00,076100,UND
0762.00,076200,balam
0762.00,076200,can_balam
0763.00,076300,UND
0764.00,076400,can
0764.00,076400,kaan
0764.00,076400,cikcan
0764.01,076401,can
0764.01,076401,kaan
0764.01,076401,cikcan
0765.00,076500,ok
0765.00,076500,ok
0765.01,076501,ok
0765.01,076501,ok
0765.02,076502,UND
0765.03,076503,UND
0766.00,076600,UND
0767.00,076700,lakam
0767.01,076701,lakam
